,joy,hate,love,sorrow,anxiety,surprise,anger,expect
蹑手蹑脚  ,0,0,1,0,1,0,0,0
总想  ,0,0,0,0,0,0,0,1
如愿以偿  ,1,0,0,0,0,0,0,1
享受  ,1,0,1,0,0,0,0,1
依恋  ,0,0,1,0,0,0,0,0
生怕  ,0,0,1,0,1,0,0,1
适应  ,1,0,1,0,1,0,0,1
疲惫  ,0,1,0,1,1,0,0,0
难得  ,1,0,1,1,1,0,0,1
清静  ,1,0,1,1,0,0,0,0
忙碌  ,1,1,1,1,1,0,0,1
以致于  ,0,0,0,1,1,0,1,0
笑笑  ,1,0,1,0,0,0,0,0
罢了  ,0,1,0,1,1,0,1,0
尽力  ,0,0,1,0,0,0,0,1
做好  ,1,0,1,0,0,0,0,1
接受  ,1,0,1,0,1,0,0,1
面对  ,1,0,1,0,1,0,0,1
成功  ,1,1,1,0,0,1,0,1
失败  ,0,1,0,1,1,0,1,0
我希望  ,1,0,1,0,0,0,0,1
感受  ,1,0,1,1,1,0,0,1
宽容  ,1,0,1,0,0,0,0,0
感恩  ,1,0,1,0,0,0,0,0
承受  ,1,0,1,1,1,0,0,1
抱怨  ,0,1,0,1,1,0,1,0
麻木  ,0,1,0,1,1,0,1,0
帮助  ,1,0,1,0,0,0,0,1
原始  ,0,0,1,0,0,0,0,0
纯朴  ,0,0,1,0,0,0,0,0
笑着  ,1,0,1,0,0,0,0,0
自信  ,1,0,1,0,0,0,0,1
香甜  ,1,0,1,0,0,0,0,0
自作  ,0,1,0,0,0,0,0,0
希望  ,1,0,0,0,0,0,0,1
送给  ,1,0,1,0,0,0,0,1
温馨  ,1,0,1,0,0,0,0,0
祥和  ,1,0,1,0,0,0,0,0
欢聚  ,1,0,1,0,0,0,0,0
兴奋  ,1,0,1,0,0,0,0,1
激动  ,1,0,1,0,1,1,1,1
相聚  ,1,0,1,0,0,0,0,1
交流  ,1,0,1,0,0,0,0,1
切磋  ,1,0,1,0,1,0,0,1
学艺  ,1,0,1,0,0,0,0,1
深化  ,1,0,0,0,0,0,0,1
情谊  ,1,0,1,0,0,0,0,0
付出  ,1,0,1,1,1,0,0,1
辛劳  ,1,0,1,1,1,0,0,1
衷心  ,1,0,1,0,0,0,0,0
感谢  ,1,0,1,0,0,0,0,0
问候  ,1,0,1,0,0,0,0,1
气势磅礴  ,0,0,1,0,0,0,0,0
不由自主  ,0,1,1,1,1,0,0,1
沧海桑田  ,1,0,1,1,0,0,0,1
自豪  ,1,0,1,0,0,0,0,0
认真  ,1,0,1,0,0,0,0,1
出色  ,1,0,1,0,0,0,0,0
活跃  ,1,0,1,0,0,0,0,0
优秀  ,1,0,1,0,0,0,0,0
宗旨  ,0,0,0,0,0,0,0,1
务实  ,0,0,1,0,0,0,0,0
创新  ,1,0,1,0,0,0,0,1
贡献  ,1,0,1,0,0,0,0,1
创造  ,1,0,1,0,0,0,0,1
良好  ,1,0,1,0,0,0,0,0
成果  ,1,0,1,0,0,0,0,0
创办  ,1,0,1,0,0,0,0,1
